username,comment,time,likes,sentimen,
@globalcellindo7496,Kalau keluar bahasa inggris itu VPN nya rubah negara karna kalau VPN gratis ada limit nya kalau limit sudah habis jangan diconect kan lagi negara yg sudah dipakai,1 hari yang lalu,0,1,
@zaki_gamingyt123,Menurut gw ini sih video ai nya bagus dan realistis ketimbang web video ai lain nya 👍🏻,2 minggu yang lalu,11,1,
@RSubektiID,Terlihat natural oke juga,4 jam yang lalu,0,1,
@VirtualSeduction68,"Truly breathtaking. The way everything flowed—the visuals, the soundscape—it all just clicked on a deep level. You've crafted something that feels alive, and that’s no easy feat with AI. I’m at the beginning of my own creative road in this field, and your work is fuel for the fire. Big inspiration, and major respect to you! 🚀🎨",2 minggu yang lalu,0,1,
@ibink87,Wow... mantab sekali.. cocok bgt buat video iklan.. fantastiss..,2 minggu yang lalu,2,1,
@iwanchannelrs2847,Ok bang wisnu mksh tutor nya bermanfaat ..👏🤭,11 hari yang lalu,0,1,
@Ariewahyudii,Sangat jos,9 hari yang lalu,0,1,
@antey0601,keren bang,2 minggu yang lalu,1,1,
@klangabutz19,Keren ilmunya kak,2 minggu yang lalu,0,1,
@ArjunaKsatria-Eddie,"Wah mantep pisan euy, Kang",2 minggu yang lalu,0,1,
@kaisarryan3662,Keren bang ❤,13 hari yang lalu,0,1,
@JonoSelamat-z8y,Keren pisan euy😊,2 minggu yang lalu,0,1,
@ubur2ikanlele_uburandlele,"suasana Indonesia, seorang bapak - bapak memakai peci berjalan,medium shot,latar suasana rumah tradisional Indonesia bapak tersebut berkata dalam bahasa jawa : ""halo my friends kulo tiang jawker alias jawa keren kulo di gawe karo chanel randomes, ojo lali subscribe okee "" orang - orang dibelakang berkumpul sambil bilang ""ojo lali subscribe yoo"" lalu tertawa,style realistic",7 hari yang lalu,0,0,
@FEBRIASTREAM,keren ai  :),2 minggu yang lalu,0,1,
@Suhadi-t9k,Hadir menyapa dari Penyadap karet 🙏,2 minggu yang lalu,0,0,
@haris_supriadi,Keren bang,2 minggu yang lalu,0,1,
@bismarabadi,Tambah ilmu baru Makasih mas bro semangat terus berkarya,2 minggu yang lalu,0,1,
@tvalif,"saya yakin tidak lama lagi, muncul banyak pesaingnya....",2 minggu yang lalu,1,-1,
@tobyramasenzu6323,Gemini veo 3 keren,13 hari yang lalu,0,1,
@mr.y280,"Cocok di Greenland, di sana hawanya dingin seringnya daerah di Greenland beku, cocok jualan tahu gejrot.",2 minggu yang lalu,0,1,
@WisnuAIPro,"Siap om, trims",2 minggu yang lalu,0,0,
@SasaPutriiqeila,​ @WisnuAIPro  ko tidak ada suaranya saya ya,2 minggu yang lalu,0,0,
@ngajidiri-u6m,Gratiis apa bayar om?,2 minggu yang lalu,0,0,
@WisnuAIPro,Haha bisa jadi om,2 minggu yang lalu,0,0,
@WisnuAIPro,Bahahaha,2 minggu yang lalu,0,0,
@ferrymulianto8132,Keren,2 minggu yang lalu,0,1,
@siapengchannel,Waw ngeri cuy,2 minggu yang lalu,0,1,
@pagar5610,"keren, tolong dilike biar bisa kembali.. hihi",2 minggu yang lalu,0,1,
@majeliswarga019,Joss,2 minggu yang lalu (diedit),0,1,
@MataDasendria,"Bos... tolong buat Video tutorial , buat video promosi dengan wajah kita sendiri.. trimakasih",2 minggu yang lalu,0,1,
@faridalrangkuti3882,pake veo 2 juga bagus tp ya bnyk kekurangannya juga tp bisa generate banyak,2 minggu yang lalu,0,-1,
@braymarcobray6331,paling berpotensi utk provokasi politik dg sasaran masyarakat yg SDM ketinggalan.,2 minggu yang lalu,0,-1,
@boomdada293,Bintang iklan mulai terancam 😂😂,2 minggu yang lalu,1,1,
@chikojeremy3900,tahu gejrot mama sultan memang maknyuss,2 minggu yang lalu,0,1,
@FaisalTasik-m7m,Buat donk film dr veo 3,2 minggu yang lalu,0,1,
@antorh7959,kalau kena pembatasan tinggal klik new chat aja bang. nanti bisa generate video lagi,2 minggu yang lalu,0,1,
@Jaguar-06-u7p,"Mungkin yg muncul bahasa Inggris kalau kata pertama depan nya kyk bahasa Inggris seperti ""Greenland"" tapi kalau depan kata nya pakai ada bahasa Indonesia nya jadi muncul Bahasa Indonesia seperti Video terakhir ""Warga Greenland"" ada kata ""Warga"" di depan nya",2 minggu yang lalu,0,0,
@deviximoush,harus ya ada orang ketawa2 😂,2 minggu yang lalu,0,0,
@wahyudiputrah1522,Kalo orangnya pakai fisik kita gimana om ?,2 minggu yang lalu,1,0,
@arissutanto1286,"Bang requst Ucapan ULTAH,, Kebetulan di Tmpt kerja saya akan ulang tahun.. Mau liat hasil dan promt yg bagus",9 hari yang lalu,0,0,
@ArfaDanil,"suasana Indonesia anak muda
berjalan, medium shot latar suasana sorum Indonesia anak muda tersebut berkata dalam bahasa Indonesia:
"" bapak ibu warga metro lampung jangan lupa mampir ke sorum rd metro, pasti bagus bagus loh unti nya monggo di liat liat dulu"" 
orang-orang  di belakang berkumpul sambil bilang mantap lalu tertawa, style realistic",2 minggu yang lalu,0,0,
@rickyagustian2046,durasinya bisa panjang tidak ya ka,12 hari yang lalu,1,0,
@muhammadluthfi3489,4:07 yang ibu2 ini kok kayak mirip siapa ya mukanya?,12 hari yang lalu,0,0,
@saputra3329,Serem tekhnologi skrg,2 minggu yang lalu,0,-1,
@Arwanah-j5u7d,Kak.. Tutor cara menautkan akun pembayaran,2 minggu yang lalu,0,1,
@user-cd8me9we8o,😂😂,2 minggu yang lalu,0,1,
@WisnuAIPro,Hahahaa,2 minggu yang lalu,0,0,
@KUTiS_2M,kalok teks gitu bicaranya jadi gitu.,2 minggu yang lalu,0,0,
@SandyRaksa,Video saya pake nya bahasa inggris mulu bang knapa ya,2 minggu yang lalu,0,0,
